  
       XFOIL         Version 6.99
  
 Calculated polar for: pcop                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
   2.500   1.1056   0.00648  -0.00064  -0.1968   0.6379   1.0000  35.6804 202.0000
   2.750   1.1271   0.00663  -0.00065  -0.1955   0.6254   1.0000  36.6939 202.0000
   3.000   1.1480   0.00680  -0.00066  -0.1940   0.6114   1.0000  37.7334 202.0000
   3.250   1.1674   0.00700  -0.00067  -0.1923   0.5957   1.0000  39.1017 202.0000
   3.500   1.1863   0.00723  -0.00066  -0.1904   0.5762   1.0000  40.6952 202.0000
   3.750   1.2037   0.00753  -0.00064  -0.1883   0.5521   1.0000  42.7670 202.0000
   4.000   1.2197   0.00789  -0.00059  -0.1859   0.5219   1.0000  45.6653 202.0000
   4.250   1.2342   0.00833  -0.00050  -0.1833   0.4896   1.0000  48.5073 202.0000
   4.500   1.2444   0.00897  -0.00034  -0.1799   0.4418   1.0000  52.5824 202.0000
   4.750   1.2550   0.00965  -0.00015  -0.1766   0.3944   1.0000  57.0640 202.0000
   5.000   1.2643   0.01041   0.00008  -0.1732   0.3434   1.0000  61.4509 202.0000
   5.250   1.2718   0.01128   0.00038  -0.1695   0.2866   1.0000  66.9684 202.0000
   5.500   1.2762   0.01232   0.00077  -0.1653   0.2228   1.0000  72.0970 202.0000
   5.750   1.2851   0.01316   0.00111  -0.1620   0.1814   1.0000  75.1923 202.0000
   6.000   1.2897   0.01425   0.00156  -0.1580   0.1259   1.0000  83.5638 202.0000
   6.250   1.2781   0.01630   0.00258  -0.1514   0.0234   1.0000 109.1170 202.0000
   6.500   1.2939   0.01686   0.00282  -0.1495   0.0170   1.0000 110.7318 202.0000
   6.750   1.3115   0.01731   0.00300  -0.1478   0.0158   1.0000 111.0329 202.0000
   7.000   1.3291   0.01777   0.00319  -0.1463   0.0154   1.0000 111.1115 202.0000
   7.250   1.3463   0.01826   0.00340  -0.1446   0.0152   1.0000 111.1682 202.0000
   7.500   1.3631   0.01878   0.00363  -0.1430   0.0150   1.0000 111.2100 202.0000
   7.750   1.3794   0.01934   0.00387  -0.1413   0.0149   1.0000 111.2411 202.0000
   8.000   1.3952   0.01993   0.00415  -0.1395   0.0148   1.0000 111.2639 202.0000
   8.250   1.4106   0.02056   0.00444  -0.1377   0.0147   1.0000 111.2807 202.0000
   8.500   1.4253   0.02124   0.00477  -0.1359   0.0147   1.0000 111.2934 202.0000
   8.750   1.4400   0.02194   0.00512  -0.1341   0.0147   1.0000 111.3017 202.0000
   9.000   1.4537   0.02271   0.00552  -0.1322   0.0146   1.0000 111.3063 202.0000
   9.250   1.4672   0.02352   0.00594  -0.1304   0.0146   1.0000 111.3112 202.0000
   9.500   1.4804   0.02436   0.00639  -0.1285   0.0145   1.0000 111.3393 202.0000
   9.750   1.4928   0.02527   0.00689  -0.1266   0.0144   1.0000 111.3741 202.0000
  10.000   1.5054   0.02620   0.00741  -0.1248   0.0142   1.0000 111.4133 202.0000
  10.250   1.5169   0.02721   0.00799  -0.1230   0.0141   1.0000 111.4354 202.0000
  10.500   1.5277   0.02831   0.00863  -0.1211   0.0141   1.0000 111.4410 202.0000
  10.750   1.5384   0.02944   0.00931  -0.1192   0.0141   1.0000 111.4465 202.0000
  11.000   1.5478   0.03070   0.01008  -0.1173   0.0140   1.0000 111.4549 202.0000
  11.250   1.5571   0.03200   0.01088  -0.1155   0.0140   1.0000 111.4615 202.0000
  11.500   1.5652   0.03343   0.01179  -0.1136   0.0140   1.0000 111.4678 202.0000
  11.750   1.5732   0.03491   0.01274  -0.1118   0.0140   1.0000 111.4745 202.0000
  12.000   1.5802   0.03651   0.01379  -0.1100   0.0139   1.0000 111.4817 202.0000
  12.250   1.5868   0.03820   0.01492  -0.1083   0.0139   1.0000 111.4877 202.0000
