
Single objective optimization:
25 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              200        0.007955         0.02475        0
    2              295        0.007955         0.02235        1
    3              390        0.007955         0.01976        2
    4              485        0.007527         0.01765        0
    5              580        0.007521         0.01649        0
    6              675        0.007521         0.01737        1
    7              770         0.00748         0.01615        0
    8              865         0.00748         0.01629        1
    9              960        0.007351         0.01425        0
   10             1055        0.007351          0.0139        1
   11             1150        0.007351           0.014        2
   12             1245        0.007123         0.01165        0
   13             1340        0.006855         0.01065        0
   14             1435        0.006855         0.01164        1
   15             1530        0.006855         0.01068        2
   16             1625        0.006779        0.009999        0
   17             1720        0.006779         0.01006        1
   18             1815        0.006779        0.008677        2
   19             1910        0.006779        0.008129        3
   20             2005        0.006775         0.00754        0
   21             2100        0.006764        0.007243        0
   22             2195        0.006706        0.007358        0
   23             2290        0.006706         0.00812        1
   24             2385         0.00653        0.008437        0
   25             2480         0.00653        0.009312        1
   26             2575         0.00653        0.008351        2
   27             2670         0.00653        0.008133        3
   28             2765         0.00653        0.007959        4
   29             2860         0.00653        0.007789        5
   30             2955        0.006487         0.00693        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             3050        0.006487        0.006826        1
   32             3145        0.006487        0.006727        2
   33             3240        0.006487        0.006631        0
   34             3335        0.006487        0.006622        1
   35             3430        0.006487        0.006571        2
   36             3525        0.006487        0.006532        3
   37             3620        0.006487        0.006507        4
   38             3715        0.006487        0.006493        5
   39             3810        0.006487        0.006491        6
   40             3905        0.006486        0.006489        0
   41             4000        0.006485        0.006488        0
   42             4095        0.006485        0.006488        0
   43             4190        0.006485        0.006489        0
   44             4285        0.006485        0.006492        1
   45             4380        0.006485        0.006491        2
   46             4475        0.006485        0.006488        3
   47             4570        0.006485        0.006487        4
   48             4665        0.006485        0.006486        5
   49             4760        0.006485        0.006486        6
   50             4855        0.006485        0.006486        0
   51             4950        0.006485        0.006486        0
   52             5045        0.006485        0.006485        1
   53             5140        0.006485        0.006485        2
