
Single objective optimization:
25 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              200         0.02051           3e+04        0
    2              295         0.01678           4e+04        0
    3              390         0.01678           2e+04        1
    4              485         0.01468           2e+04        0
    5              580         0.01395           4e+04        0
    6              675         0.01377           1e+04        0
    7              770         0.01336           3e+04        0
    8              865          0.0129           2e+04        0
    9              960         0.01191         0.03568        0
   10             1055        0.009925         0.03367        0
   11             1150        0.006295         0.02548        0
   12             1245        0.006295         0.02518        1
   13             1340        0.005424         0.02784        0
   14             1435        0.005424         0.02738        1
   15             1530        0.005424         0.01863        2
   16             1625        0.005424         0.01618        3
   17             1720        0.005269         0.01332        0
   18             1815        0.005269         0.01123        1
   19             1910         0.00502         0.01149        0
   20             2005         0.00502         0.01118        1
   21             2100        0.004574        0.008962        0
   22             2195        0.004458        0.008011        0
   23             2290        0.004198        0.008857        0
   24             2385        0.004103         0.01241        0
   25             2480        0.004103         0.01233        1
   26             2575        0.004089           1e+04        0
   27             2670        0.003942         0.01243        0
   28             2765        0.003942         0.01127        1
   29             2860        0.003942        0.009572        2
   30             2955        0.003927        0.008484        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             3050        0.003927        0.008122        1
   32             3145        0.003927        0.007302        2
   33             3240        0.003927         0.00613        3
   34             3335        0.003661        0.005073        0
   35             3430        0.003661        0.005076        1
   36             3525        0.003614        0.004778        0
   37             3620        0.003614        0.004648        1
   38             3715        0.003614        0.004437        2
   39             3810        0.003556        0.004135        0
   40             3905        0.003467        0.004111        0
   41             4000        0.003289        0.004273        0
   42             4095        0.003134        0.004766        0
   43             4190        0.003134        0.005723        1
   44             4285        0.003084         0.00559        0
   45             4380        0.003076        0.006462        0
   46             4475        0.003038         0.01231        0
   47             4570        0.003038         0.01358        1
   48             4665        0.003038           1e+04        2
   49             4760        0.003032        0.008941        0
   50             4855        0.003032           1e+04        1
   51             4950        0.003006        0.006595        0
   52             5045        0.003006         0.00834        1
   53             5140        0.003002        0.006207        0
   54             5235        0.003002        0.006694        1
   55             5330        0.003002        0.005542        2
   56             5425        0.003002        0.004796        3
   57             5520        0.003002        0.004367        4
   58             5615        0.003002        0.003818        5
   59             5710        0.002979        0.003629        0
   60             5805        0.002976        0.003557        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             5900        0.002967        0.003584        0
   62             5995         0.00296        0.003654        0
   63             6090        0.002937        0.004144        0
   64             6185        0.002935        0.005183        0
   65             6280        0.002918          0.0077        0
   66             6375        0.002918         0.01527        1
   67             6470        0.002906        0.006965        0
   68             6565        0.002906         0.01591        1
   69             6660        0.002905        0.007253        0
   70             6755        0.002905        0.009599        1
   71             6850        0.002904        0.008069        0
   72             6945        0.002904        0.009645        1
   73             7040        0.002904        0.009761        2
   74             7135        0.002904        0.006864        3
   75             7230        0.002904        0.005237        4
   76             7325        0.002904        0.004441        5
   77             7420        0.002889        0.003941        0
   78             7515        0.002858        0.003655        0
   79             7610        0.002856        0.003783        0
   80             7705        0.002838        0.004116        0
   81             7800        0.002838        0.004906        1
   82             7895        0.002838        0.005015        2
   83             7990        0.002835        0.004636        0
   84             8085        0.002826        0.004741        0
   85             8180        0.002826        0.005407        1
   86             8275        0.002826        0.005204        2
   87             8370        0.002826        0.004466        3
   88             8465        0.002826        0.003835        4
   89             8560        0.002826        0.003681        5
   90             8655        0.002824        0.003413        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91             8750        0.002824        0.003289        1
   92             8845        0.002824        0.003174        2
   93             8940        0.002824        0.003053        3
   94             9035        0.002824        0.002923        4
   95             9130        0.002819        0.002911        0
   96             9225        0.002819          0.0029        1
   97             9320        0.002814        0.002874        0
   98             9415        0.002814        0.002874        1
   99             9510        0.002814        0.002866        2
  100             9605        0.002812         0.00286        0
  101             9700         0.00281        0.002856        0
  102             9795         0.00281        0.002852        0
  103             9890        0.002808         0.00287        0
  104             9985        0.002807        0.002865        0
  105            10080        0.002807        0.002942        1
  106            10175        0.002803        0.002922        0
  107            10270        0.002803        0.002965        1
  108            10365        0.002803        0.002943        2
  109            10460        0.002803        0.002885        3
  110            10555        0.002803        0.002842        0
  111            10650        0.002802        0.002843        0
  112            10745          0.0028        0.002864        0
  113            10840          0.0028        0.002924        0
  114            10935          0.0028        0.003004        1
  115            11030        0.002798        0.003016        0
  116            11125        0.002796        0.003081        0
  117            11220        0.002795        0.003344        0
  118            11315        0.002795        0.003961        1
  119            11410        0.002795        0.003902        0
  120            11505        0.002795        0.004291        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            11600        0.002794        0.004033        0
  122            11695        0.002794        0.004211        1
  123            11790        0.002794        0.004109        0
  124            11885        0.002792        0.004367        0
  125            11980        0.002792        0.005394        1
  126            12075        0.002792        0.004515        0
  127            12170        0.002792        0.004742        1
  128            12265        0.002792        0.004939        2
  129            12360        0.002792        0.004353        3
  130            12455        0.002792        0.004099        4
  131            12550        0.002792        0.003641        5
  132            12645        0.002792        0.003269        0
  133            12740        0.002792        0.003095        1
  134            12835        0.002792        0.003012        2
  135            12930        0.002792        0.002916        3
  136            13025        0.002791        0.002859        0
  137            13120        0.002789        0.002839        0
  138            13215        0.002789        0.002846        0
  139            13310        0.002784        0.002921        0
  140            13405        0.002783        0.002966        0
  141            13500        0.002783        0.003304        0
  142            13595        0.002783        0.003958        0
  143            13690        0.002782        0.004523        0
  144            13785        0.002782           1e+04        1
  145            13880        0.002782        0.007408        0
  146            13975        0.002782         0.01053        1
  147            14070        0.002782        0.007424        2
  148            14165        0.002781        0.006322        0
  149            14260        0.002781        0.006498        0
  150            14355        0.002781           1e+04        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  151            14450        0.002781           1e+04        0
  152            14545        0.002781         0.01362        1
  153            14640        0.002781        0.007517        2
  154            14735        0.002781        0.005655        3
  155            14830        0.002781        0.004814        4
  156            14925        0.002781        0.003966        5
  157            15020        0.002781        0.003549        0
  158            15115        0.002781        0.003339        1
  159            15210        0.002781        0.003164        2
  160            15305        0.002781        0.003007        3
  161            15400        0.002781         0.00295        4
  162            15495        0.002779        0.002836        0
  163            15590        0.002779        0.002836        1
  164            15685        0.002774         0.00282        0
  165            15780         0.00277        0.002814        0
  166            15875         0.00277        0.002833        0
  167            15970        0.002768        0.002863        0
  168            16065        0.002768        0.003006        1
  169            16160        0.002768        0.002968        2
  170            16255        0.002768        0.002904        3
  171            16350        0.002768        0.002859        0
  172            16445        0.002767        0.002845        0
  173            16540        0.002766        0.002895        0
  174            16635        0.002763         0.00296        0
  175            16730        0.002763        0.003319        0
  176            16825        0.002763        0.004109        1
  177            16920        0.002763         0.00389        2
  178            17015        0.002763        0.003546        3
  179            17110        0.002763        0.003313        4
  180            17205        0.002763        0.003097        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  181            17300        0.002762        0.003065        0
  182            17395        0.002762          0.0031        1
  183            17490        0.002761        0.003049        0
  184            17585        0.002761        0.003237        0
  185            17680        0.002761        0.003361        1
  186            17775         0.00276        0.003254        0
  187            17870        0.002758        0.003495        0
  188            17965        0.002757        0.003774        0
  189            18060        0.002757         0.00505        1
  190            18155        0.002757        0.005233        2
  191            18250        0.002757        0.004355        3
  192            18345        0.002757        0.004009        4
  193            18440        0.002757        0.003519        5
  194            18535        0.002757        0.003151        6
  195            18630        0.002757         0.00299        7
  196            18725        0.002757        0.002886        8
  197            18820        0.002757        0.002841        0
  198            18915        0.002756        0.002812        0
  199            19010        0.002752        0.002814        0
  200            19105        0.002752          0.0028        0
  201            19200        0.002752        0.002839        1
  202            19295        0.002752        0.002837        2
  203            19390        0.002749        0.002805        0
  204            19485        0.002749        0.002809        1
  205            19580        0.002747        0.002792        0
  206            19675        0.002746        0.002791        0
  207            19770        0.002745        0.002877        0
  208            19865        0.002745        0.003095        1
  209            19960        0.002745        0.003037        0
  210            20055        0.002745        0.003048        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  211            20150        0.002745        0.003015        2
  212            20245        0.002745        0.002914        0
  213            20340        0.002744        0.002902        0
  214            20435        0.002744        0.003011        0
  215            20530        0.002744        0.003334        0
  216            20625        0.002744        0.003723        1
  217            20720        0.002744        0.003771        2
  218            20815        0.002744        0.003333        3
  219            20910        0.002744         0.00324        4
  220            21005        0.002744        0.003196        5
  221            21100        0.002741        0.002969        0
  222            21195        0.002741        0.002899        1
  223            21290        0.002741        0.002824        0
  224            21385         0.00273        0.002831        0
  225            21480        0.002726        0.002891        0
  226            21575        0.002726        0.002973        1
  227            21670        0.002726         0.00293        2
  228            21765        0.002726        0.002862        3
  229            21860        0.002726        0.002829        4
  230            21955        0.002726        0.002799        5
  231            22050        0.002724        0.002784        0
  232            22145        0.002723        0.002767        0
  233            22240        0.002719        0.002769        0
  234            22335        0.002717         0.00278        0
  235            22430        0.002716        0.002845        0
  236            22525        0.002716        0.002973        1
  237            22620        0.002716         0.00296        0
  238            22715        0.002711        0.003039        0
  239            22810        0.002708        0.003266        0
  240            22905        0.002708        0.003668        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  241            23000        0.002708        0.003679        2
  242            23095        0.002708        0.003464        0
  243            23190        0.002708        0.003526        1
  244            23285        0.002708        0.003301        0
  245            23380        0.002708        0.003579        0
  246            23475        0.002708        0.003697        1
