S2027_FLIPPED	
1.00000	0.00000
0.99996	0.00090
0.99643	0.00980
0.98844	0.01992
0.97620	0.03064
0.95988	0.04159
0.93967	0.05240
0.91581	0.06274
0.88847	0.07224
0.85784	0.08064
0.82411	0.08769
0.78746	0.09321
0.74814	0.09709
0.70639	0.09929
0.66253	0.09978
0.61690	0.09857
0.56984	0.09571
0.52169	0.09130
0.47283	0.08554
0.42372	0.07865
0.37484	0.07084
0.32668	0.06236
0.27972	0.05346
0.23447	0.04444
0.19148	0.03560
0.15130	0.02725
0.11452	0.01970
0.08175	0.01321
0.05365	0.00798
0.03084	0.00413
0.01396	0.00164
0.00353	0.00037
0.00000	0.00000
0.00354	0.00009
0.01403	0.00020
0.03116	0.00005
0.05455	-0.00055
0.08375	-0.00174
0.11824	-0.00360
0.15743	-0.00617
0.20068	-0.00946
0.24730	-0.01340
0.29658	-0.01790
0.34775	-0.02282
0.40006	-0.02792
0.45277	-0.03285
0.50535	-0.03721
0.55744	-0.04076
0.60861	-0.04338
0.65846	-0.04504
0.70650	-0.04574
0.75227	-0.04546
0.79533	-0.04420
0.83526	-0.04200
0.87167	-0.03890
0.90419	-0.03497
0.93248	-0.03027
0.95624	-0.02488
0.97524	-0.01894
0.98922	-0.01262
0.99774	-0.00627
1.00000	0.00000
