
Single objective optimization:
24 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              200         0.01213         7.9e+05        0
    2              295         0.01213         6.8e+05        1
    3              390         0.01213         6.7e+05        2
    4              485         0.01213         5.7e+05        3
    5              580         0.01213         5.2e+05        4
    6              675         0.01213           5e+05        5
    7              770         0.01193         4.1e+05        0
    8              865         0.01105         4.4e+05        0
    9              960        0.008068         2.9e+05        0
   10             1055        0.008068         3.5e+05        1
   11             1150         0.00717         3.7e+05        0
   12             1245        0.006809         3.4e+05        0
   13             1340        0.006809         3.7e+05        1
   14             1435        0.006789         3.7e+05        0
   15             1530        0.006789         4.1e+05        1
   16             1625        0.006755         3.6e+05        0
   17             1720        0.006755         3.5e+05        1
   18             1815        0.006755           3e+05        2
   19             1910        0.006755         2.9e+05        3
   20             2005        0.006755         2.2e+05        4
   21             2100        0.006755         1.7e+05        5
   22             2195        0.006755           9e+04        6
   23             2290        0.003429           3e+04        0
   24             2385        0.003429           4e+04        1
   25             2480        0.003429           4e+04        2
   26             2575         0.00339           7e+04        0
   27             2670        0.002996           4e+04        0
   28             2765        0.002933           4e+04        0
   29             2860         0.00246         1.1e+05        0
   30             2955        0.002277         1.9e+05        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             3050        0.002126         2.3e+05        0
   32             3145        0.002059           3e+05        0
   33             3240        0.001999         3.1e+05        0
   34             3335        0.001902         2.6e+05        0
   35             3430        0.001589         1.4e+05        0
   36             3525        0.001587           7e+04        0
   37             3620        0.001587           5e+04        1
   38             3715        0.001501         1.1e+05        0
   39             3810        0.001501           8e+04        1
   40             3905        0.001463         1.2e+05        0
   41             4000        0.001387           6e+04        0
Optimization terminated: minimum fitness limit reached.
