
Single objective optimization:
26 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              200         0.03778         7.6e+05        0
    2              295         0.03656         6.8e+05        0
    3              390         0.03501         6.5e+05        0
    4              485         0.03084         5.9e+05        0
    5              580         0.02557         4.5e+05        0
    6              675         0.01973         3.3e+05        0
    7              770         0.01592         1.8e+05        0
    8              865          0.0147         1.6e+05        0
    9              960          0.0133           9e+04        0
   10             1055         0.01308           4e+04        0
   11             1150         0.01251           2e+04        0
   12             1245         0.01251           1e+04        1
   13             1340         0.01251           6e+04        2
   14             1435         0.01251           7e+04        3
   15             1530           0.012           7e+04        0
   16             1625           0.012           1e+05        1
   17             1720         0.01154           9e+04        0
   18             1815         0.01154         1.2e+05        1
   19             1910         0.01154           9e+04        2
   20             2005         0.01154           4e+04        0
   21             2100        0.009842           4e+04        0
   22             2195        0.009319           4e+04        0
   23             2290        0.009318           9e+04        0
   24             2385        0.007414           8e+04        0
   25             2480        0.007202           4e+04        0
   26             2575        0.007202           1e+04        1
   27             2670        0.007191           6e+04        0
   28             2765        0.007159           1e+04        0
   29             2860        0.007159           1e+04        1
   30             2955        0.007159         1.6e+05        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             3050        0.007159         1.3e+05        3
   32             3145        0.006998         1.2e+05        0
   33             3240        0.006998         1.3e+05        1
   34             3335        0.005956         1.2e+05        0
   35             3430        0.005912         1.6e+05        0
   36             3525        0.005785         1.5e+05        0
   37             3620        0.005613           6e+04        0
   38             3715        0.005574           5e+04        0
   39             3810        0.005574           5e+04        1
   40             3905        0.005436         1.6e+05        0
   41             4000        0.005436           5e+04        1
   42             4095        0.005436         1.1e+05        2
   43             4190        0.005436         1.2e+05        3
   44             4285        0.005436           1e+05        4
   45             4380        0.005375           9e+04        0
   46             4475        0.005375           8e+04        1
   47             4570        0.005375           7e+04        2
   48             4665         0.00514           8e+04        0
   49             4760        0.004955           7e+04        0
   50             4855        0.004955           1e+05        1
   51             4950        0.004924           3e+04        0
   52             5045        0.004924           9e+04        1
   53             5140        0.004905           1e+05        0
   54             5235        0.004685           7e+04        0
   55             5330        0.004685         1.2e+05        1
   56             5425        0.004685           7e+04        0
   57             5520        0.004541           1e+05        0
   58             5615        0.004518         1.6e+05        0
   59             5710        0.004518         1.2e+05        1
   60             5805        0.004518         1.5e+05        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             5900        0.004518         2.1e+05        3
   62             5995        0.004518         1.6e+05        4
   63             6090         0.00435         1.2e+05        0
   64             6185         0.00435         1.3e+05        1
   65             6280         0.00435           9e+04        2
   66             6375        0.004151           9e+04        0
   67             6470        0.004105         1.2e+05        0
   68             6565        0.003961         1.1e+05        0
   69             6660        0.003923           1e+05        0
   70             6755        0.003923         1.2e+05        1
   71             6850        0.003916         1.6e+05        0
   72             6945        0.003823           2e+05        0
   73             7040        0.003823           1e+05        1
   74             7135        0.003823         1.1e+05        2
   75             7230        0.003815           8e+04        0
   76             7325        0.003776         1.4e+05        0
   77             7420        0.003776           8e+04        1
   78             7515        0.003776         1.1e+05        2
   79             7610        0.003776         1.1e+05        3
   80             7705        0.003776           1e+05        4
