
Single objective optimization:
12 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              200         0.03513         8.1e+05        0
    2              295         0.03513         6.6e+05        1
    3              390         0.03446         6.3e+05        0
    4              485         0.03446           6e+05        1
    5              580         0.02867         5.6e+05        0
    6              675         0.02719           4e+05        0
    7              770         0.02495         3.2e+05        0
    8              865         0.02495         2.7e+05        1
    9              960         0.02453         2.9e+05        0
   10             1055         0.02453         2.6e+05        1
   11             1150         0.02431         2.6e+05        0
   12             1245         0.02342         2.1e+05        0
   13             1340         0.02297         2.3e+05        0
   14             1435         0.02233         2.5e+05        0
   15             1530         0.02233         2.5e+05        1
   16             1625         0.02233         2.6e+05        2
   17             1720         0.02233           2e+05        3
   18             1815         0.02233         1.5e+05        4
   19             1910         0.02233         1.1e+05        5
   20             2005         0.02118           5e+04        0
   21             2100         0.02058           1e+04        0
   22             2195         0.02054           5e+04        0
   23             2290         0.01998         1.5e+05        0
   24             2385         0.01995           2e+05        0
   25             2480         0.01992         2.3e+05        0
   26             2575         0.01958         2.6e+05        0
   27             2670         0.01958         2.8e+05        1
   28             2765         0.01945         2.5e+05        0
   29             2860         0.01945           3e+05        1
   30             2955         0.01945         3.1e+05        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             3050         0.01944         2.3e+05        0
   32             3145         0.01755         2.1e+05        0
   33             3240         0.01694         2.6e+05        0
   34             3335         0.01637         2.6e+05        0
   35             3430         0.01618           2e+05        0
   36             3525         0.01618         2.4e+05        0
   37             3620         0.01608         2.1e+05        0
   38             3715         0.01608           2e+05        1
   39             3810         0.01608         2.1e+05        2
   40             3905         0.01608         2.2e+05        3
   41             4000         0.01608         1.5e+05        4
   42             4095         0.01608         1.4e+05        5
   43             4190         0.01608           6e+04        6
   44             4285         0.01479           3e+04        0
   45             4380         0.01435           3e+04        0
   46             4475         0.01383           3e+04        0
   47             4570         0.01359           7e+04        0
   48             4665         0.01301         1.4e+05        0
   49             4760         0.01278         2.2e+05        0
   50             4855         0.01278         2.6e+05        1
   51             4950         0.01259         2.2e+05        0
   52             5045          0.0124         2.6e+05        0
   53             5140         0.01235         2.5e+05        0
   54             5235         0.01213         2.5e+05        0
   55             5330         0.01211         2.7e+05        0
   56             5425         0.01211         2.5e+05        1
   57             5520         0.01211         2.6e+05        2
   58             5615         0.01211         2.1e+05        3
   59             5710         0.01211         1.9e+05        4
   60             5805         0.01211         1.2e+05        5

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             5900         0.01211           5e+04        6
   62             5995         0.01136           3e+04        0
   63             6090         0.01084           3e+04        0
   64             6185         0.01058         0.02324        0
   65             6280         0.01012           5e+04        0
   66             6375        0.008227         1.2e+05        0
   67             6470        0.007862         1.5e+05        0
   68             6565        0.007656         2.1e+05        0
   69             6660        0.007656         1.3e+05        1
   70             6755        0.007656         1.3e+05        2
   71             6850        0.007547           1e+05        0
   72             6945        0.007324         1.5e+05        0
   73             7040        0.007324           8e+04        1
   74             7135        0.007281           1e+05        0
   75             7230        0.007281           9e+04        1
   76             7325        0.007281         1.4e+05        2
   77             7420        0.007281         1.3e+05        3
   78             7515        0.007281         1.1e+05        4
   79             7610        0.007281           7e+04        5
   80             7705         0.00716           5e+04        0
   81             7800        0.007131           2e+04        0
   82             7895        0.006924           5e+04        0
   83             7990        0.006924           8e+04        1
   84             8085        0.006388           6e+04        0
   85             8180        0.006388         1.3e+05        1
   86             8275        0.006239           7e+04        0
   87             8370        0.006187         1.2e+05        0
   88             8465        0.006187         1.9e+05        1
   89             8560        0.005966         1.7e+05        0
   90             8655        0.005966         1.8e+05        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91             8750        0.005925         1.8e+05        0
   92             8845        0.005925         2.3e+05        1
   93             8940        0.005871         1.8e+05        0
   94             9035        0.005871         2.2e+05        1
   95             9130        0.005871         2.3e+05        2
   96             9225        0.004967         1.4e+05        0
   97             9320        0.004833         1.6e+05        0
   98             9415        0.004833         1.8e+05        1
   99             9510        0.004833         1.1e+05        2
  100             9605        0.004833         1.1e+05        3
  101             9700        0.004833           7e+04        4
  102             9795        0.004803           4e+04        0
  103             9890        0.004795           5e+04        0
  104             9985        0.004795           3e+04        1
  105            10080        0.004782           1e+04        0
  106            10175        0.004625           4e+04        0
  107            10270        0.004625           1e+05        1
  108            10365        0.004625           1e+05        2
  109            10460        0.004625           5e+04        3
  110            10555        0.004441           4e+04        0
  111            10650        0.004441           1e+04        1
  112            10745        0.004441           1e+04        2
  113            10840        0.004436        0.009807        0
  114            10935         0.00429        0.009661        0
  115            11030        0.004006         0.01168        0
  116            11125        0.004006         0.01942        1
  117            11220        0.003919         0.01912        0
  118            11315        0.003919           3e+04        1
  119            11410        0.003881           3e+04        0
  120            11505        0.003841           3e+04        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            11600        0.003825           7e+04        0
  122            11695        0.003825         1.3e+05        1
  123            11790        0.003714         1.1e+05        0
  124            11885        0.003702         1.8e+05        0
  125            11980        0.003702           1e+05        1
