               AIRFOIL_NAME,          CLDMAX,      DELALP, FLAG
               01_n0012.dat,    69.273927393,        6.75, 0000 
            02_naca2412.dat,    99.541160594,       12.00, 0000 
            03_naca4412.dat,   126.232876712,       11.50, 0000 
                04_e205.dat,   124.377745242,       10.50, 0000 
    05_ah81k144wfKlappe.dat,    91.648351648,        2.00, 0000 
            06_ah79100c.dat,   170.617283951,       15.50, 0000 
            07_ah79k143.dat,   106.955941255,        1.50, 0000 
            08_ah94w301.dat,   101.353868195,        2.75, 0000 
         09_zznaca22312.dat,    96.865261228,        8.00, 0000 
        10_zznaca642415.dat,   113.725743855,       13.00, 0000 
       11_zznaca747a315.dat,   105.840938722,       13.00, 0000 
12_griffith30SymSuction.dat,    17.931952663,        0.00, 0000 
              13_as6097.dat,   171.182065217,       14.00, 0000 
                14_e379.dat,   159.960578187,        2.00, 0000 
             15_clarkys.dat,    82.322713258,        5.75, 0000 
              16_clarkw.dat,   114.779220779,       11.00, 0000 
              17_clarky.dat,   113.675078864,       12.75, 0000 
                18_chen.dat,   126.716604245,        0.00, 0000 
     19_zzzs2027flipped.dat,     0.000000000,        0.00, 0311 
             20_goe417a.dat,    90.396881644,        5.25, 0000 
              21_goe611.dat,   129.731843575,        9.00, 0000 
             22_drgnfly.dat,   147.453703704,        3.00, 0000 
           23_fx79w470a.dat,    23.886348792,        9.25, 0000 
             24_dbln526.dat,    51.467576792,        4.25, 0000 
            25_fx082512.dat,    98.731117825,       13.00, 0000
