             AIRFOIL_NAME,          CLDMAX,      DELALP, FLAG
                2032c.dat,   129.991349481,        5.75, 0000 
                  a18.dat,   124.290718039,        9.25, 0000 
                a18sm.dat,   127.700534759,        7.00, 0000 
             a63a108c.dat,    61.730319564,        2.00, 0000 
                 ag03.dat,    85.703225806,        6.75, 0000 
                 ag04.dat,    84.251412429,        7.75, 0000 
                 ag08.dat,    81.601085482,        8.25, 0000 
                 ag09.dat,    68.849693252,        3.50, 0000 
                 ag10.dat,    66.575203252,        3.25, 0000 
                 ag11.dat,    89.134615385,        9.50, 0000 
                 ag12.dat,    84.165554072,        5.25, 0000 
                 ag13.dat,    85.319148936,        9.25, 0000 
                 ag14.dat,    83.543417367,        8.75, 0000 
                 ag16.dat,    91.574675325,        8.50, 0000 
                 ag17.dat,    90.854430380,        8.75, 0000 
                 ag18.dat,    89.792477302,        7.00, 0000 
                 ag19.dat,    91.997264022,        6.25, 0000 
                 ag24.dat,    91.717990276,        9.75, 0000 
                 ag25.dat,    99.343750000,        9.25, 0000 
                 ag26.dat,   103.317152104,        9.75, 0000 
                 ag27.dat,   102.479061977,        9.75, 0000 
                 ag35.dat,    98.084795322,        7.75, 0000 
                 ag36.dat,   100.928143713,       10.00, 0000 
                 ag37.dat,    87.598828697,        6.00, 0000 
                 ag38.dat,    89.294670846,        9.75, 0000 
            ag44ct02r.dat,    92.704714640,        8.00, 0000 
           ag455ct02r.dat,    87.831168831,        8.50, 0000 
              ag45c03.dat,    92.857142857,        8.00, 0000 
            ag45ct02r.dat,    89.852216749,        9.50, 0000 
              ag46c03.dat,    82.123368921,        5.25, 0000 
            ag46ct02r.dat,    80.738853503,        5.75, 0000 
              ag47c03.dat,    70.729295426,        5.00, 0000 
            ag47ct02r.dat,    76.040856031,        4.25, 0000 
               ah21-7.dat,   112.811059908,       11.75, 0000 
               ah21-9.dat,   102.092457421,       12.75, 0000 
             ah63k127.dat,   148.560000000,       10.50, 0000 
               ah6407.dat,     0.000000000,        0.00, 0077 
               ah7476.dat,   139.150579151,       13.75, 0000 
             ah79100a.dat,   131.172106825,       10.50, 0000 
             ah79100b.dat,   180.754437870,       11.50, 0000 
             ah79100c.dat,   170.617283951,       15.50, 0000 
             ah79k132.dat,   131.234756098,       11.50, 0000 
             ah79k135.dat,   118.206686930,       14.75, 0000 
             ah79k143.dat,   106.955941255,        1.50, 0000 
              ah80129.dat,   150.290964778,        0.75, 0000 
              ah80136.dat,   130.538116592,       11.75, 0000 
              ah80140.dat,   147.254658385,        4.00, 0000 
              ah81131.dat,   115.630498534,       11.75, 0000 
             ah81k144.dat,   151.411042945,       16.00, 0000 
     ah81k144wfKlappe.dat,    91.648351648,        2.00, 0000 
             ah82150a.dat,   121.727272727,        0.50, 0000 
             ah82150f.dat,   120.284495021,        0.25, 0000 
             ah83150q.dat,   132.619617225,       13.25, 0000 
              ah83159.dat,   132.060975610,        1.75, 0000 
             ah85l120.dat,    49.931271478,        9.25, 0000 
             ah88k130.dat,   143.677621283,        1.25, 0000 
             ah88k136.dat,   107.031039136,       12.00, 0000 
              ah93156.dat,   120.534161491,       11.50, 0000 
              ah93157.dat,   119.571938169,       10.25, 0000 
             ah93k130.dat,   129.075500770,       15.25, 0000 
             ah93k131.dat,   136.056971514,        2.75, 0000 
             ah93k132.dat,   130.737951807,        2.75, 0000 
             ah93w145.dat,   145.758323058,       10.00, 0000 
             ah93w174.dat,   145.769633508,        1.25, 0000 
             ah93w215.dat,   114.172727273,        6.50, 0000 
             ah93w257.dat,   118.764044944,        2.25, 0000 
             ah93w300.dat,    80.063829787,       10.00, 0000 
            ah93w480b.dat,    25.585686329,       12.50, 0000 
              ah94145.dat,   175.172413793,       14.75, 0000 
              ah94156.dat,   125.622688039,       10.75, 0000 
             ah94w301.dat,   101.353868195,        2.75, 0000 
              ah95160.dat,   168.771289538,        1.75, 0000 
               ames01.dat,    88.643067847,        7.50, 0000 
               ames02.dat,    61.728971963,        2.00, 0000 
               ames03.dat,    83.448275862,        8.00, 0000 
              amsoil1.dat,    91.264755481,       14.00, 0000 
              amsoil2.dat,    72.412698413,        8.75, 0000 
               apex16.dat,   120.489731438,       10.50, 0000 
             aquilasm.dat,   125.960000000,        8.25, 0000 
               arad10.dat,    98.529638183,        9.50, 0000 
               arad13.dat,    95.930644020,        8.00, 0000 
               arad20.dat,    98.587239583,        5.75, 0000 
                arad6.dat,   139.500000000,       11.75, 0000 
               as5045.dat,    90.211360634,       12.25, 0000 
               as5046.dat,    87.397622193,       13.25, 0000 
               as5048.dat,    91.895674300,       13.50, 0000 
               as6091.dat,   117.232796486,       11.25, 0000 
               as6092.dat,   115.336134454,        9.25, 0000 
               as6093.dat,   112.002670227,        8.50, 0000 
               as6094.dat,   157.774390244,       11.25, 0000 
               as6095.dat,   148.149659864,       12.00, 0000 
               as6096.dat,   141.507840772,       11.00, 0000 
               as6097.dat,   171.182065217,       14.00, 0000 
               as6098.dat,   171.687074830,       13.75, 0000 
               as6099.dat,   162.980132450,       14.00, 0000 
              atr72sm.dat,   104.032395567,        8.00, 0000 
            august160.dat,   115.120435120,        5.00, 0000 
              avistar.dat,    80.886981402,       11.00, 0000 
              b29root.dat,    72.207207207,        1.75, 0000 
               b29tip.dat,   102.283356259,        9.75, 0000 
              b540ols.dat,    71.754237288,        6.00, 0000 
                b707a.dat,    72.440944882,        6.25, 0000 
                b707b.dat,    64.365024289,        2.25, 0000 
                b707c.dat,    79.490494297,        8.25, 0000 
                b707d.dat,    84.480151229,        8.25, 0000 
                b707e.dat,    82.427007299,       14.00, 0000 
                b737a.dat,    87.254901961,        5.25, 0000 
                b737b.dat,    86.727574751,        7.50, 0000 
                b737c.dat,    80.195381883,       12.25, 0000 
                b737d.dat,    85.537634409,        9.75, 0000 
                 bacj.dat,    63.513513514,        4.75, 0000 
               bacnlf.dat,    54.101562500,        3.25, 0000 
               bacxxx.dat,    89.097510373,        8.50, 0000 
             bambino6.dat,    64.233463035,        6.75, 0000 
                 be50.dat,   119.964912281,        7.25, 0000 
               be50sm.dat,   117.558770344,       11.00, 0000 
               boe103.dat,   107.462686567,       11.00, 0000 
               boe106.dat,   114.571428571,       10.00, 0000 
                bqm34.dat,    65.949033392,        6.25, 0000 
             bw050209.dat,    79.842312746,        8.25, 0000 
                  bw3.dat,    96.155660377,       10.50, 0000 
                c141a.dat,    69.695340502,       13.25, 0000 
                c141b.dat,    67.815498155,        7.75, 0000 
                c141c.dat,    80.656934307,       12.25, 0000 
                c141d.dat,    81.654545455,       13.50, 0000 
                c141e.dat,    84.911937378,       13.25, 0000 
                c141f.dat,    85.321239607,        8.75, 0000 
                  c5a.dat,    69.275362319,        6.50, 0000 
                  c5b.dat,    77.519531250,       11.75, 0000 
                  c5c.dat,    88.231707317,       13.25, 0000 
                  c5d.dat,    83.812154696,       12.75, 0000 
                  c5e.dat,    76.632000000,        7.75, 0000 
               cap21c.dat,    95.344160866,        6.00, 0000 
              cast102.dat,    92.369337979,       11.50, 0000 
               ch10sm.dat,   172.653061224,        6.75, 0000 
                 chen.dat,   126.716604245,        0.00, 0000 
               clarkk.dat,   112.933643772,       10.25, 0000 
               clarkv.dat,   127.218649518,       11.50, 0000 
               clarkw.dat,   114.779220779,       11.00, 0000 
               clarkx.dat,   113.193277311,       10.50, 0000 
               clarky.dat,   113.675078864,       12.75, 0000 
              clarkyh.dat,    95.138067061,        9.00, 0000 
              clarkys.dat,    82.322713258,        5.75, 0000 
             clarkysm.dat,   119.204712813,       14.25, 0000 
               clarkz.dat,   116.934950386,       10.75, 0000 
             clarym15.dat,   107.569913211,        9.75, 0000 
             clarym18.dat,    97.165281625,       11.75, 0000 
              coanda1.dat,    75.948581560,        1.25, 0000 
              coanda2.dat,    83.526370217,        6.50, 0000 
              coanda3.dat,    96.260657734,        5.75, 0000 
               cootie.dat,   129.130434783,        7.50, 0000 
